ccaa,year,sexo,tasa_bruta_eso,tasa_bruta_bach,tasabrutaFP_basica,tasabrutaFP_Media,tasabrutaFP_superior,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general,PIB_per_capita
Castilla y Leon,2015,mujer,89.0,71.9,2.5,26.2,28.1,1.375,20.975,27.875,5.55,25.55,7.324999999999999,11.45,21600.0
Castilla y Leon,2016,hombre,74.3,53.5,5.4,24.5,28.4,0.775,17.225,23.725,4.05,32.3,9.350000000000001,12.6,22369.0
Castilla y Leon,2016,mujer,82.9,68.3,3.0,22.7,24.8,1.1,21.025,27.7,5.3,25.7,7.425,11.75,22369.0
Castilla y Leon,2017,hombre,76.1,52.4,7.2,22.2,30.2,0.8500000000000001,16.225,24.775,3.75,32.35,9.475,12.575,23076.0
Castilla y Leon,2017,mujer,83.6,69.4,2.9,21.4,28.1,0.925,19.450000000000003,28.3,4.875,26.95,7.425,12.125,23076.0
Castilla y Leon,2018,hombre,77.6,52.5,7.1,23.3,31.8,0.7,15.9,25.325,3.275,32.675,9.35,12.725,24216.0
Castilla y Leon,2018,mujer,85.6,67.4,3.5,22.4,26.2,0.9750000000000001,18.7,28.975,4.225,27.25,7.65,12.175,24216.0
Castilla y Leon,2019,hombre,82.9,60.3,7.3,21.4,23.6,0.575,15.975000000000001,26.8,2.825,32.125,9.0,12.75,24849.0
Castilla y Leon,2019,mujer,91.1,75.3,3.2,19.6,23.0,0.775,19.325,30.625,3.625,26.3,7.65,11.7,24849.0
Castilla y Leon,2020,hombre,80.6,53.5,8.3,31.0,37.3,0.525,14.600000000000001,27.275,2.4749999999999996,32.55,9.275,13.3,22934.0
Castilla y Leon,2020,mujer,86.4,68.8,4.0,25.1,34.9,0.775,18.599999999999998,31.0,3.35,26.325,7.775,12.225,22934.0
Castilla y Leon,2021,hombre,79.3,50.2,6.8,25.8,31.6,0.5,13.95,27.25,2.1,33.525,9.575,13.05,25020.0
Castilla y Leon,2021,mujer,85.1,66.6,3.0,22.2,27.6,0.625,17.025,32.25,2.95,26.15,8.925,12.05,25020.0
Castilla y Leon,2022,hombre,77.2,49.4,7.1,26.0,33.1,0.6499999999999999,13.875,28.275,2.05,31.775,9.4,13.975,27511.0
Castilla y Leon,2022,mujer,84.1,63.9,3.5,23.0,28.5,0.7,16.55,32.375,2.85,26.025,8.825,12.65,27511.0
Cataluña,2014,hombre,78.8,44.8,5.1375,26.3,30.9,0.925,16.525,28.2,5.25,29.2,7.2,12.675,26551.0
Cataluña,2014,mujer,87.4,59.3,5.1375,23.8,35.4,2.1,18.775,29.275,7.275,24.775,6.375,11.45,26551.0
Cataluña,2015,hombre,78.7,44.4,0.0,26.5,27.6,1.0,16.125,28.2,4.6,29.375,7.275,13.4,27806.0
Cataluña,2015,mujer,87.3,60.5,0.0,23.7,28.9,2.35,17.85,30.1,6.675,24.85,7.15,11.05,27806.0
Cataluña,2016,hombre,79.3,42.4,0.0,26.4,28.9,1.025,15.525,28.975,4.45,28.775,7.325,13.875,28781.0
Cataluña,2016,mujer,87.7,59.0,0.0,24.2,30.8,1.975,17.1,31.174999999999997,6.6,24.0,7.1,12.05,28781.0
Cataluña,2017,hombre,79.8,42.5,0.0,25.5,29.5,0.875,14.9,30.25,4.25,29.075000000000003,7.675,12.975,29770.0
Cataluña,2017,mujer,88.1,58.7,0.0,23.4,33.6,1.8,16.7,31.4,6.275,24.6,6.825,12.45,29770.0
Cataluña,2018,hombre,80.2,42.3,0.0,28.3,30.8,0.825,13.25,31.525000000000002,4.15,29.975,7.65,12.649999999999999,30525.0
Cataluña,2018,mujer,88.1,59.4,0.0,27.0,35.5,1.725,15.75,32.375,6.1,23.875,7.6,12.55,30525.0
Cataluña,2019,hombre,84.1,44.3,0.0,31.4,32.8,0.8500000000000001,12.425,32.3,3.6,30.625,7.7,12.524999999999999,31300.0
Cataluña,2019,mujer,89.7,62.4,0.0,30.2,37.3,1.85,14.625,33.474999999999994,5.375,24.375,7.35,12.95,31300.0
Cataluña,2020,hombre,83.7,42.8,0.0,30.1,34.5,0.8,11.225,32.275,3.5,31.35,8.425,12.425,27796.0
Cataluña,2020,mujer,89.6,60.0,0.0,30.4,40.9,1.675,13.5,33.625,5.05,26.25,7.45,12.375,27796.0
Cataluña,2021,hombre,83.0,41.9,0.0,28.6,36.5,1.1,10.925,32.575,3.6,30.475,8.35,12.925,30360.0
Cataluña,2021,mujer,87.8,58.0,0.0,34.9,48.7,1.5,13.475,34.05,4.95,24.700000000000003,7.4,13.875,30360.0
Cataluña,2022,hombre,83.1,41.7,0.3,31.9,35.9,1.125,11.149999999999999,33.45,3.175,29.225,8.675,13.225,33043.0
Cataluña,2022,mujer,88.9,58.2,0.1,36.8,47.5,1.725,13.275,34.85,4.8,24.275,7.375,13.725,33043.0
Ceuta,2014,hombre,56.5,35.1,5.1375,21.6,17.9,1.6749999999999998,14.95,16.925,6.65,33.775,5.625,20.45,17123.0
Ceuta,2014,mujer,65.4,39.7,5.1375,19.3,24.8,5.7,14.175,19.475,10.65,33.125,5.35,11.6,17123.0
Ceuta,2015,hombre,61.7,38.6,6.9,19.2,16.2,1.85,15.45,23.725,4.75,30.95,5.15,18.125,17757.0
Ceuta,2015,mujer,74.6,51.0,4.7,17.7,28.4,5.35,17.775,21.775,7.949999999999999,27.6,7.275,12.3,17757.0
Ceuta,2016,hombre,46.6,35.5,7.2,23.0,12.5,1.775,17.875,24.1,3.05,30.45,4.75,18.0,18155.0
Ceuta,2016,mujer,66.1,45.6,5.4,17.8,18.3,7.1,18.075000000000003,22.2,5.225,30.625,5.15,11.65,18155.0
Ceuta,2017,hombre,48.4,30.0,4.7,19.7,13.8,2.35,16.375,22.65,2.4,33.95,4.1,18.175,18262.0
Ceuta,2017,mujer,61.3,46.4,5.6,19.8,27.4,8.35,18.325,20.325,2.7,30.65,7.4,12.225,18262.0
Ceuta,2018,hombre,47.6,32.4,7.8,19.8,14.9,1.8,15.225000000000001,20.2,2.8,36.375,5.925,17.65,18923.0
Ceuta,2018,mujer,58.7,51.9,3.1,22.6,26.8,7.45,18.925,22.875,3.6,29.75,7.6499999999999995,9.675,18923.0
Ceuta,2019,hombre,67.5,44.7,8.7,17.0,14.3,2.225,14.775,17.475,2.075,37.075,6.1,20.25,19577.0
Ceuta,2019,mujer,75.1,63.4,7.3,20.4,28.3,6.75,21.175,20.85,2.725,27.775,6.95,13.75,19577.0
Ceuta,2020,hombre,58.7,33.5,4.8,20.7,13.2,1.5,14.475,20.6,1.6,36.85,6.775,18.125,18184.0
Ceuta,2020,mujer,70.2,47.5,2.3,25.5,25.7,4.725,20.6,22.6,2.475,27.35,6.55,15.65,18184.0
Ceuta,2021,hombre,51.8,34.8,12.9,28.5,13.3,0.1,18.15,19.625,0.95,33.275,6.75,21.1,19661.0
Ceuta,2021,mujer,70.3,42.8,7.1,25.7,34.9,4.175,16.75,23.525,1.275,29.4,6.525,18.375,19661.0
Ceuta,2022,hombre,61.9,30.9,13.0,23.2,17.4,0.3,25.75,15.125,0.8250000000000001,35.8,5.775,16.5,21273.0
Ceuta,2022,mujer,65.0,53.3,8.3,31.0,32.6,7.6,16.4,22.05,1.5250000000000001,31.6,6.3,14.55,21273.0
Comunidad Valenciana,2014,hombre,64.3,42.0,5.1375,28.1,28.1,1.175,11.975,25.475,5.4,35.074999999999996,7.2,13.7,19641.0
Comunidad Valenciana,2014,mujer,74.6,58.5,5.1375,29.7,33.9,2.425,13.8,24.925,7.800000000000001,29.775,8.875,12.4,19641.0
Comunidad Valenciana,2015,hombre,66.4,44.7,6.4,28.3,27.1,1.075,10.675,25.025,5.0,36.5,8.1,13.575,20500.0
Comunidad Valenciana,2015,mujer,79.3,59.5,3.3,29.1,33.7,2.3,11.425,26.4,7.45,31.525,8.675,12.175,20500.0
