ccaa,year,sexo,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general
Galicia,2016,mujer,1.55,17.8,27.725,9.025,26.85,6.8,10.225
Galicia,2017,hombre,0.75,15.175,25.725,5.8,33.675000000000004,7.6,11.3
Galicia,2017,mujer,1.5750000000000002,17.325,27.9,9.275,26.65,6.9,10.375
Galicia,2018,hombre,0.6749999999999999,14.175,25.95,5.675,33.825,7.65,12.025
Galicia,2018,mujer,1.55,16.575,27.9,8.775,26.85,7.1,11.3
Galicia,2019,hombre,0.725,12.4,27.175,4.125,35.075,8.375,12.1
Galicia,2019,mujer,1.4,15.45,28.575,7.25,28.375,7.15,11.825
Galicia,2020,hombre,0.625,9.85,28.625,3.6,36.625,8.275,12.45
Galicia,2020,mujer,1.25,12.875,30.725,6.025,29.975,6.95,12.2
Galicia,2021,hombre,0.525,9.325,29.025,3.6500000000000004,36.85,8.125,12.45
Galicia,2021,mujer,1.125,11.774999999999999,31.725,5.875,30.375,7.05,12.1
Galicia,2022,hombre,0.75,8.200000000000001,29.0,3.35,37.325,8.575000000000001,12.725
Galicia,2022,mujer,1.125,10.475,32.775000000000006,5.65,31.35,7.075,11.475
Galicia,2023,hombre,0.6,9.3,28.375,2.575,36.575,8.95,13.65
Galicia,2023,mujer,1.175,11.8,32.475,4.475,30.75,7.625,11.725
Galicia,2024,hombre,0.5,9.75,28.825,2.1,36.2,10.075,12.55
Galicia,2024,mujer,1.025,12.025,32.9,4.375,30.05,7.75,11.899999999999999
Galicia,2025,hombre,0.6,10.3,29.65,2.7249999999999996,33.975,10.25,12.525
Galicia,2025,mujer,0.875,13.25,34.175,4.7,26.725,7.925,12.4
Islas Baleares,2014,hombre,1.325,10.55,20.9,6.175,38.825,7.025,15.175
Islas Baleares,2014,mujer,2.425,12.9,24.599999999999998,7.725,29.9,6.75,15.725
Islas Baleares,2015,hombre,1.2,9.725,21.05,5.4,38.4,8.15,16.15
Islas Baleares,2015,mujer,2.0250000000000004,10.75,24.35,7.275,30.85,7.675,17.125
Islas Baleares,2016,hombre,1.35,9.175,22.55,4.324999999999999,36.85,8.95,16.825
Islas Baleares,2016,mujer,2.15,10.1,25.424999999999997,6.075,30.125,8.55,17.6
Islas Baleares,2017,hombre,0.975,8.575,24.6,3.975,37.65,7.925,16.325000000000003
Islas Baleares,2017,mujer,1.975,10.15,26.200000000000003,6.0,29.75,8.325,17.675
Islas Baleares,2018,hombre,1.275,8.7,22.625,3.625,37.925,9.075,16.775
Islas Baleares,2018,mujer,1.975,11.65,26.575,5.325,28.450000000000003,8.55,17.45
Islas Baleares,2019,hombre,1.225,9.075,24.175,2.95,37.5,9.125,15.95
Islas Baleares,2019,mujer,1.85,11.35,28.375,4.125,29.075,8.625,16.6
Islas Baleares,2020,hombre,1.225,7.125,27.35,2.8,36.275000000000006,9.55,15.600000000000001
Islas Baleares,2020,mujer,1.75,9.45,30.375,4.7,27.175,9.4,17.1
Islas Baleares,2021,hombre,1.025,7.75,27.025,2.425,32.95,11.325,17.475
Islas Baleares,2021,mujer,1.5,10.175,31.724999999999998,3.95,27.225,9.25,16.2
Islas Baleares,2022,hombre,0.9,9.35,24.5,3.15,33.925,9.975,18.225
Islas Baleares,2022,mujer,1.475,11.675,30.5,3.4749999999999996,28.1,7.8,16.95
Islas Baleares,2023,hombre,0.875,10.325,24.85,2.7,33.6,10.3,17.375
Islas Baleares,2023,mujer,1.475,11.975000000000001,29.45,3.4,27.424999999999997,8.05,18.275
