ccaa,year,sexo,tasabrutaFP_Media
Comunidad Valenciana,2015,mujer,29.1
Comunidad Valenciana,2016,hombre,26.6
Comunidad Valenciana,2016,mujer,26.3
Comunidad Valenciana,2017,hombre,26.9
Comunidad Valenciana,2017,mujer,26.0
Comunidad Valenciana,2018,hombre,26.7
Comunidad Valenciana,2018,mujer,26.9
Comunidad Valenciana,2019,hombre,26.5
Comunidad Valenciana,2019,mujer,26.6
Comunidad Valenciana,2020,hombre,29.4
Comunidad Valenciana,2020,mujer,29.5
Comunidad Valenciana,2021,hombre,29.1
Comunidad Valenciana,2021,mujer,29.6
Comunidad Valenciana,2022,hombre,29.3
Comunidad Valenciana,2022,mujer,29.8
Extremadura,1990,hombre,12.7
Extremadura,1990,mujer,14.9
Extremadura,1991,hombre,11.8
Extremadura,1991,mujer,12.9
Extremadura,1992,hombre,13.8
Extremadura,1992,mujer,12.4
Extremadura,1993,hombre,14.5
Extremadura,1993,mujer,13.3
Extremadura,1994,hombre,12.1
Extremadura,1994,mujer,11.9
Extremadura,1995,hombre,10.7
Extremadura,1995,mujer,10.3
Extremadura,1996,hombre,9.9
Extremadura,1996,mujer,10.4
Extremadura,1997,hombre,9.2
Extremadura,1997,mujer,8.9
Extremadura,1998,hombre,8.8
Extremadura,1998,mujer,8.7
Extremadura,1999,hombre,6.8
Extremadura,1999,mujer,6.1
Extremadura,2000,hombre,8.3
Extremadura,2000,mujer,7.7
Extremadura,2001,hombre,10.5
Extremadura,2001,mujer,11.6
Extremadura,2002,hombre,12.6
Extremadura,2002,mujer,13.2
Extremadura,2003,hombre,11.2
Extremadura,2003,mujer,12.5
Extremadura,2004,hombre,11.0
Extremadura,2004,mujer,13.0
Extremadura,2005,hombre,12.6
Extremadura,2005,mujer,14.0
Extremadura,2006,hombre,12.7
Extremadura,2006,mujer,14.9
Extremadura,2007,hombre,13.3
Extremadura,2007,mujer,16.3
Extremadura,2008,hombre,13.8
Extremadura,2008,mujer,17.9
Extremadura,2009,hombre,15.4
Extremadura,2009,mujer,18.8
Extremadura,2010,hombre,15.8
Extremadura,2010,mujer,22.7
Extremadura,2011,hombre,18.2
Extremadura,2011,mujer,24.1
Extremadura,2012,hombre,18.6
Extremadura,2012,mujer,21.5
Extremadura,2013,hombre,22.9
Extremadura,2013,mujer,22.8
