ccaa,year,sexo,tasa_bruta_bach
Comunidad Valenciana,2019,hombre,44.0
Comunidad Valenciana,2019,mujer,61.9
Comunidad Valenciana,2020,hombre,40.7
Comunidad Valenciana,2020,mujer,55.4
Comunidad Valenciana,2021,hombre,40.7
Comunidad Valenciana,2021,mujer,55.8
Comunidad Valenciana,2022,hombre,41.3
Comunidad Valenciana,2022,mujer,54.9
Extremadura,1990,hombre,20.7
Extremadura,1990,mujer,31.0
Extremadura,1991,hombre,22.9
Extremadura,1991,mujer,34.4
Extremadura,1992,hombre,24.0
Extremadura,1992,mujer,35.5
Extremadura,1993,hombre,25.1
Extremadura,1993,mujer,36.6
Extremadura,1994,hombre,27.4
Extremadura,1994,mujer,39.5
Extremadura,1995,hombre,30.5
Extremadura,1995,mujer,45.0
Extremadura,1996,hombre,31.7
Extremadura,1996,mujer,47.5
Extremadura,1997,hombre,31.3
Extremadura,1997,mujer,48.2
Extremadura,1998,hombre,33.3
Extremadura,1998,mujer,48.2
Extremadura,1999,hombre,31.2
Extremadura,1999,mujer,47.7
Extremadura,2000,hombre,29.6
Extremadura,2000,mujer,44.7
Extremadura,2001,hombre,29.8
Extremadura,2001,mujer,46.0
Extremadura,2002,hombre,33.3
Extremadura,2002,mujer,52.0
Extremadura,2003,hombre,30.2
Extremadura,2003,mujer,48.0
Extremadura,2004,hombre,30.4
Extremadura,2004,mujer,49.4
Extremadura,2005,hombre,31.6
Extremadura,2005,mujer,48.5
Extremadura,2006,hombre,30.0
Extremadura,2006,mujer,48.8
Extremadura,2007,hombre,34.5
Extremadura,2007,mujer,51.5
Extremadura,2008,hombre,34.6
Extremadura,2008,mujer,51.8
Extremadura,2009,hombre,35.9
Extremadura,2009,mujer,52.3
Extremadura,2010,hombre,40.4
Extremadura,2010,mujer,57.4
Extremadura,2011,hombre,43.1
Extremadura,2011,mujer,57.9
Extremadura,2012,hombre,44.8
Extremadura,2012,mujer,60.5
Extremadura,2013,hombre,46.2
Extremadura,2013,mujer,60.5
Extremadura,2014,hombre,46.7
Extremadura,2014,mujer,64.3
Extremadura,2015,hombre,50.2
Extremadura,2015,mujer,67.3
Extremadura,2016,hombre,46.5
Extremadura,2016,mujer,64.0
Extremadura,2017,hombre,48.6
Extremadura,2017,mujer,63.7
Extremadura,2018,hombre,48.5
Extremadura,2018,mujer,66.0
Extremadura,2019,hombre,58.3
Extremadura,2019,mujer,76.7
