ccaa,sexo,nivel_formacion,year,pct_poblacion_nivel_formacion
Aragon,mujer,Educación primaria,2018,18.625
Aragon,mujer,Educación superior,2018,29.975
Aragon,mujer,Estudios primarios incompletos,2018,3.775
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2018,24.675
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2018,9.3
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2018,12.95
Aragon,hombre,Analfabetos,2019,0.725
Aragon,hombre,Educación primaria,2019,13.1
Aragon,hombre,Educación superior,2019,29.9
Aragon,hombre,Estudios primarios incompletos,2019,2.725
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2019,29.15
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2019,11.15
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2019,13.274999999999999
Aragon,mujer,Analfabetos,2019,0.725
Aragon,mujer,Educación primaria,2019,17.925
Aragon,mujer,Educación superior,2019,30.875
Aragon,mujer,Estudios primarios incompletos,2019,3.5
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2019,24.125
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2019,9.075
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2019,13.8
Aragon,hombre,Analfabetos,2020,0.75
Aragon,hombre,Educación primaria,2020,13.025
Aragon,hombre,Educación superior,2020,29.975
Aragon,hombre,Estudios primarios incompletos,2020,2.225
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2020,27.875
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2020,12.175
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2020,14.025
Aragon,mujer,Analfabetos,2020,0.7
Aragon,mujer,Educación primaria,2020,17.55
Aragon,mujer,Educación superior,2020,31.950000000000003
Aragon,mujer,Estudios primarios incompletos,2020,3.275
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2020,22.275
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2020,9.375
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2020,14.85
Aragon,hombre,Analfabetos,2021,0.65
Aragon,hombre,Educación primaria,2021,12.15
Aragon,hombre,Educación superior,2021,30.275
Aragon,hombre,Estudios primarios incompletos,2021,2.025
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2021,27.775
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2021,12.5
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2021,14.6
Aragon,mujer,Analfabetos,2021,0.8999999999999999
Aragon,mujer,Educación primaria,2021,14.9
Aragon,mujer,Educación superior,2021,32.65
Aragon,mujer,Estudios primarios incompletos,2021,3.275
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2021,23.775
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2021,9.85
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2021,14.675
Aragon,hombre,Analfabetos,2022,0.85
Aragon,hombre,Educación primaria,2022,11.425
Aragon,hombre,Educación superior,2022,31.474999999999998
Aragon,hombre,Estudios primarios incompletos,2022,2.45
