Comunidades y Ciudades Autónomas	Sexo	Nivel de formación alcanzado	Periodo	Total
01 Andalucía	Mujeres	Analfabetos	2024T3	2,6
01 Andalucía	Mujeres	Analfabetos	2024T2	2,6
01 Andalucía	Mujeres	Analfabetos	2024T1	2,9
01 Andalucía	Mujeres	Analfabetos	2023T4	2,7
01 Andalucía	Mujeres	Analfabetos	2023T3	2,8
01 Andalucía	Mujeres	Analfabetos	2023T2	2,9
01 Andalucía	Mujeres	Analfabetos	2023T1	2,9
01 Andalucía	Mujeres	Analfabetos	2022T4	3,0
01 Andalucía	Mujeres	Analfabetos	2022T3	3,0
01 Andalucía	Mujeres	Analfabetos	2022T2	3,0
01 Andalucía	Mujeres	Analfabetos	2022T1	3,2
01 Andalucía	Mujeres	Analfabetos	2021T4	2,9
01 Andalucía	Mujeres	Analfabetos	2021T3	2,8
01 Andalucía	Mujeres	Analfabetos	2021T2	2,9
01 Andalucía	Mujeres	Analfabetos	2021T1	3,2
01 Andalucía	Mujeres	Analfabetos	2020T4	3,3
01 Andalucía	Mujeres	Analfabetos	2020T3	3,2
01 Andalucía	Mujeres	Analfabetos	2020T2	3,5
01 Andalucía	Mujeres	Analfabetos	2020T1	3,7
01 Andalucía	Mujeres	Analfabetos	2019T4	3,5
01 Andalucía	Mujeres	Analfabetos	2019T3	3,6
01 Andalucía	Mujeres	Analfabetos	2019T2	3,6
01 Andalucía	Mujeres	Analfabetos	2019T1	3,6
01 Andalucía	Mujeres	Analfabetos	2018T4	3,5
01 Andalucía	Mujeres	Analfabetos	2018T3	3,8
01 Andalucía	Mujeres	Analfabetos	2018T2	3,8
01 Andalucía	Mujeres	Analfabetos	2018T1	3,9
01 Andalucía	Mujeres	Analfabetos	2017T4	4,1
01 Andalucía	Mujeres	Analfabetos	2017T3	4,0
01 Andalucía	Mujeres	Analfabetos	2017T2	4,3
01 Andalucía	Mujeres	Analfabetos	2017T1	4,3
01 Andalucía	Mujeres	Analfabetos	2016T4	4,2
